Title,NARelease,EURelease,Publisher
Captain America and The Avengers,Dec-91,Unreleased,Data East
Captain Planet and the Planeteers,Sep-91,20-Aug-92,Mindscape
Captain Skyhawk,Jun-90,26-May-94,Milton Bradley Company (NA)
,,,Rare (EU)
Casino Kid,Oct-89,Unreleased,SOFEL
Casino Kid 2,Apr-93,Unreleased,SOFEL
Castelian,Jun-91,Unreleased,Triffix (NA)
,,,Storm (EU)
Castle of Dragon,Jun-90,Unreleased,SETA
Castlequest,Sep-89,Unreleased,ASCII
Castlevania,May-87,19-Dec-88,Konami
Castlevania II: Simon's Quest,Dec-88,27-Apr-90,Konami
Castlevania III: Dracula's Curse,Sep-90,10-Dec-92,Konami (NA)
,,,Palcom (EU)
Caveman Games,Oct-90,Unreleased,Data East
Championship Bowling,Dec-89,Unreleased,Romstar
Championship Pool,Oct-93,Unreleased,Mindscape
Championship Rally,Unreleased,1991,HAL America (AU)
Chessmaster,Jan-90,26-Mar-92,Hi Tech Expressions
Chip 'n Dale: Rescue Rangers,Jun-90,12-Dec-91,Capcom
Chip 'n Dale Rescue Rangers 2,Jan-94,29-Sep-94,Capcom
Chubby Cherub,29-Oct-86,Unreleased,Bandai
Circus Caper,Jul-90,Unreleased,Toho
City Connection,May-88,Unreleased,Jaleco
Clash at Demonhead,Jan-90,Unreleased,Vic Tokai
Classic Concentration,Sep-90,Unreleased,GameTek
Cliffhanger,Nov-93,Unreleased,Sony Imagesoft
Clu Clu Land,18-Oct-85,15-Feb-87,Nintendo
Cobra Command,Nov-88,Unreleased,Data East
Cobra Triangle,Jul-89,25-Oct-89,Nintendo
Code Name: Viper,Mar-90,Unreleased,Capcom
Color a Dinosaur,Jul-93,Unreleased,Virgin Interactive
Commando,Nov-86,Unreleased,Capcom
Conan: The Mysteries of Time,Feb-91,Unreleased,Mindscape
Conflict,Mar-90,Unreleased,Vic Tokai
Conquest of the Crystal Palace,Nov-90,Unreleased,Asmik
Contra,Feb-88,28-Dec-90,Konami
Contra Force,Sep-92,Unreleased,Konami
Cool World,Jun-93,Unreleased,Ocean Software
Cowboy Kid,Jan-92,Unreleased,Romstar
Crackout,Unreleased,1991,Palcom
Crash 'n the Boys: Street Challenge,Oct-92,Unreleased,Technōs Japan
Crystalis,Jul-90,Unreleased,SNK
Cyberball,Jan-92,Unreleased,Jaleco
Cybernoid: The Fighting Machine,Dec-89,Unreleased,Acclaim Entertainment
Dance Aerobics,Mar-89,Unreleased,Nintendo
Danny Sullivan's Indy Heat,Aug-92,Unreleased,Tradewest
Darkman,Oct-91,Unreleased,Ocean Software
Dash Galaxy in the Alien Asylum,Feb-90,Unreleased,Data East
Day Dreamin' Davey,Jun-92,Unreleased,HAL America
Days of Thunder,Oct-90,25-Apr-91,Mindscape
Deadly Towers,Sep-87,Unreleased,Brøderbund
Defender II,Jul-88,Unreleased,HAL America
Defender of the Crown,Jul-89,25-Jul-91,Ultra Games
Defenders of Dynatron City,Jul-92,Unreleased,JVC
Déjà Vu,Dec-90,24-Sep-92,Seika
Demon Sword,Jan-90,Unreleased,Taito
Desert Commander,Jun-89,Unreleased,Seika
Destination Earthstar,Feb-90,Unreleased,Acclaim Entertainment
Destiny of an Emperor,Sep-90,Unreleased,Capcom
Devil World,Unreleased,15-Jul-87,Nintendo
Dick Tracy,Aug-90,Unreleased,Bandai
