Title,NARelease,EURelease,Publisher
Qix,Jan-91,Unreleased,Taito
R.B.I. Baseball,Jun-88,Unreleased,Tengen
R.C. Pro-Am,Mar-88,15-Apr-88,Nintendo
R.C. Pro-Am II,Dec-92,23-Sep-93,Tradewest
Race America,May-92,1990,Absolute Entertainment (NA)
,,,Milton Bradley Company (EU)
Racket Attack,Oct-88,24-Mar-94,Jaleco
Rackets & Rivals,Unreleased,1993,Palcom
Rad Racer,1-Oct-87,15-Jan-88,Nintendo
Rad Racer II,Jun-90,Unreleased,Square
Raid on Bungeling Bay,Sep-87,Unreleased,Brøderbund
Rainbow Islands: The Story of Bubble Bobble 2,Jun-91,1991,Taito (NA)
,,,Ocean Software (EU)
Rally Bike,Sep-90,Unreleased,Romstar
Rambo,May-88,Unreleased,Acclaim Entertainment
Rampage,Dec-88,Unreleased,Data East
Rampart,Jan-92,Unreleased,Jaleco
Remote Control,May-90,Unreleased,Hi Tech Expressions
The Ren & Stimpy Show: Buckaroo$!,Nov-93,Unreleased,THQ
Renegade,Jan-88,Unreleased,Taito
Rescue: The Embassy Mission,Jan-90,27-Mar-91,Seika
Ring King,Sep-87,Unreleased,Data East
River City Ransom,Jan-90,1991,Technōs Japan (NA)
,,,Infogrames (EU)
Road Fighter,Unreleased,1991,Palcom
RoadBlasters,Jan-90,Unreleased,Mindscape
Robin Hood: Prince of Thieves,Nov-91,10-Dec-92,Virgin Interactive
RoboCop,Dec-89,25-Apr-91,Data East (NA)
,,,Ocean Software (EU)
RoboCop 2,Apr-91,1991,Data East (NA)
,,,Ocean Software (EU)
RoboCop 3,Aug-92,28-Jul-94,Ocean Software
Robowarrior,Dec-88,27-Sep-89,Jaleco
Rock 'n Ball,Jan-90,Unreleased,NTVIC
Rocket Ranger,Jun-90,Unreleased,Seika
The Rocketeer,May-91,Unreleased,Bandai
Rockin' Kats,Sep-91,19-Nov-92,Atlus
Rod Land,Unreleased,1993,Jaleco
Roger Clemens' MVP Baseball,Oct-91,Unreleased,LJN
Rollerball,Feb-90,Unreleased,HAL America
Rollerblade Racer,Feb-93,Unreleased,Hi Tech Expressions
RollerGames,Sep-90,24-Oct-91,Ultra Games
Romance of the Three Kingdoms,Oct-89,Unreleased,Koei
Romance of the Three Kingdoms II,Sep-91,Unreleased,Koei
Roundball: 2 on 2 Challenge,May-92,Unreleased,Mindscape
Rush'n Attack,Apr-87,1988,Konami
Rygar,Jul-87,30-Mar-90,Tecmo
S.C.A.T.: Special Cybernetic Attack Team,Jun-91,Unreleased,Natsume (NA)
,,,Imagineer (EU)
Section Z,Jul-87,27-Sep-89,Capcom
Seicross,Oct-88,Unreleased,FCI
Sesame Street: 1-2-3,Jan-89,Unreleased,Hi Tech Expressions
Sesame Street: A-B-C,Sep-89,Unreleased,Hi Tech Expressions
Sesame Street: A-B-C/1-2-3,Nov-91,Unreleased,Hi Tech Expressions
Sesame Street: Big Bird's Hide & Speak,Oct-90,Unreleased,Hi Tech Expressions
Sesame Street: Countdown,Feb-92,Unreleased,Hi Tech Expressions
Shadow of the Ninja (aka Blue Shadow),Dec-90,25-Jul-91,Natsume (NA)
,,,Taito (EU)
Shadowgate,Dec-89,30-May-91,Seika
Shatterhand,Dec-91,19-Nov-92,Jaleco
Shingen the Ruler,Jun-90,Unreleased,Hot-B
Shooting Range,Jun-89,Unreleased,Bandai
Short Order / Eggsplode!,Dec-89,Unreleased,Nintendo
Side Pocket,30-Nov-87,27-May-92,Data East
Silent Service,Dec-89,23-Nov-90,Ultra Games (NA)
,,,Konami (EU)
Silkworm,Jun-90,Unreleased,American Sammy
Silver Surfer,Nov-90,Unreleased,Arcadia Systems
The Simpsons: Bart vs. the Space Mutants,Feb-91,12-Dec-91,Acclaim Entertainment
The Simpsons: Bart vs. the World,Dec-91,22-Oct-92,Acclaim Entertainment
The Simpsons: Bartman Meets Radioactive Man,Dec-92,Unreleased,Acclaim Entertainment
Skate or Die!,Dec-88,17-Aug-90,Ultra Games
Skate or Die 2: The Search for Double Trouble,Sep-90,Unreleased,Electronic Arts
Ski or Die,Feb-91,24-Oct-91,Ultra Games
Sky Kid,Sep-87,Unreleased,Sunsoft
Sky Shark,Sep-89,Unreleased,Taito
Slalom,Mar-87,15-Oct-87,Nintendo
Smash TV,Sep-91,Unreleased,Acclaim Entertainment
The Smurfs,Unreleased,1994,Infogrames
Snake Rattle 'n' Roll,Jul-90,Unreleased,Nintendo
Snake's Revenge,Apr-90,Mar-91,Ultra Games (NA)
,,,Konami (EU)
Snoopy's Silly Sports Spectacular,Apr-90,Unreleased,Seika
Snow Brothers,Nov-91,Unreleased,Capcom
Soccer,18-Oct-85,15-Jan-87,Nintendo
Solar Jetman: Hunt for the Golden Warpship,Sep-90,26-Sep-91,Tradewest
Solomon's Key,Jul-87,30-Mar-90,Tecmo
Solstice: The Quest for the Staff of Demnos,Jun-90,26-Sep-91,Sony Imagesoft (NA)
,,,Software Creations (EU)
Space Shuttle Project,Nov-91,Unreleased,Absolute Entertainment
Spelunker,Sep-87,Unreleased,Brøderbund
Spider-Man: Return of the Sinister Six,Oct-92,Unreleased,LJN
Spot: The Video Game,Sep-90,Unreleased,Arcadia Systems
Spy Hunter,Sep-87,Unreleased,Sunsoft
Spy vs. Spy,Oct-88,27-Jul-90,Seika
Sqoon,Sep-87,Unreleased,Irem
Stack-Up,18-Oct-85,Sep-86,Nintendo
Stadium Events,Sep-87,23-Feb-90,Bandai
Stanley: The Search for Dr. Livingston,Oct-92,Unreleased,Electro Brain
Star Force,Nov-87,27-Apr-90,Tecmo
Star Soldier,Jan-89,Unreleased,Taxan
Star Trek: 25th Anniversary,Feb-92,Unreleased,Ultra Games
Star Trek: The Next Generation,Sep-93,Unreleased,Absolute Entertainment
Star Voyager,Sep-87,Unreleased,Acclaim Entertainment
Star Wars,Nov-91,26-Mar-92,JVC (NA)
,,,LucasArts (EU)
Star Wars: The Empire Strikes Back,Mar-92,Unreleased,JVC
Starship Hector,Jun-90,Unreleased,Hudson Soft
StarTropics,Dec-90,20-Aug-92,Nintendo
Stealth ATF,Oct-89,Unreleased,Activision
Stinger,Sep-87,Unreleased,Konami
Street Cop,Jun-89,Unreleased,Bandai
Street Fighter 2010: The Final Fight,Sep-90,Unreleased,Capcom
Strider,Jul-89,Unreleased,Capcom
Super C,Apr-90,1992,Konami
Super Cars,Feb-91,Unreleased,Electro Brain
Super Dodge Ball,Jul-89,Unreleased,Sony Imagesoft
Super Glove Ball,Oct-90,Unreleased,Mattel
Super Jeopardy!,Sep-91,Unreleased,GameTek
Super Mario Bros.,18-Oct-85,15-May-87,Nintendo
Super Mario Bros./Duck Hunt,Nov-88,Unreleased,Nintendo
Super Mario Bros./Duck Hunt/World Class Track Meet,Dec-90,Unreleased,Nintendo
Super Mario Bros./Tetris/Nintendo World Cup,Unreleased,Nov-88,Nintendo
Super Mario Bros. 2,10-Oct-88,28-Apr-89,Nintendo
Super Mario Bros. 3,12-Feb-90,29-Aug-91,Nintendo
Super Pitfall,Nov-87,Unreleased,Activision[7]
Super Spike V'Ball,Feb-90,23-Jan-92,Nintendo
Super Spike V'Ball/Nintendo World Cup,Dec-90,Unreleased,Nintendo
Super Spy Hunter,Feb-92,Unreleased,Sunsoft
Super Team Games,Nov-88,Unreleased,Nintendo
Super Turrican,Unreleased,22-Jul-93,Imagineer
Superman,Dec-88,Unreleased,Seika
Swamp Thing,Dec-92,Unreleased,THQ
Sword Master,Jan-92,21-Jan-93,Activision
Swords and Serpents,Aug-90,28-Nov-91,Acclaim Entertainment
Taboo: The Sixth Sense,Apr-89,Unreleased,Tradewest
Tag Team Wrestling,Oct-86,Unreleased,Data East
TaleSpin,Dec-91,24-Sep-92,Capcom
Target: Renegade,Mar-90,Unreleased,Taito
Tecmo Baseball,Jan-89,Unreleased,Tecmo
Tecmo Bowl,Feb-89,Unreleased,Tecmo
Tecmo Cup Soccer Game,Sep-92,24-Sep-92,Tecmo
Tecmo NBA Basketball,Nov-92,Unreleased,Tecmo
Tecmo Super Bowl,Dec-91,Unreleased,Tecmo
Tecmo World Cup Soccer,Unreleased,1991,Tecmo
Tecmo World Wrestling,Apr-90,23-Nov-90,Tecmo
Teenage Mutant Ninja Turtles,Jun-89,17-Aug-90,Ultra Games
Teenage Mutant Ninja Turtles II: The Arcade Game,Dec-90,14-Nov-91,Ultra Games (NA)
,,,Konami (EU)
Teenage Mutant Ninja Turtles III: The Manhattan Project,Feb-92,Unreleased,Konami
Teenage Mutant Ninja Turtles: Tournament Fighters,Feb-94,Unreleased,Konami
Tennis,18-Oct-85,1-Sep-86,Nintendo
The Terminator,Dec-92,Unreleased,Mindscape
Terminator 2: Judgment Day,Feb-92,Unreleased,LJN
Terra Cresta,Mar-90,Unreleased,Vic Tokai
Tetris,Nov-89,23-Feb-90,Nintendo
Tetris 2,Oct-93,Unreleased,Nintendo
The Three Stooges,Oct-89,Unreleased,Activision
Thunder & Lightning,Dec-90,Unreleased,Romstar
Thunderbirds,Sep-90,Unreleased,Activision
Thundercade,Jul-89,Unreleased,American Sammy
Tiger Heli,Sep-87,17-Jan-90,Acclaim Entertainment
Time Lord,Sep-90,Unreleased,Milton Bradley Company
Times of Lore,May-91,Unreleased,Toho
Tiny Toon Adventures,Dec-91,22-Oct-92,Konami
Tiny Toon Adventures 2: Trouble in Wackyland,Apr-93,27-Jan-94,Konami
Tiny Toon Adventures Cartoon Workshop,Dec-92,Unreleased,Konami
To the Earth,Nov-89,23-Feb-90,Nintendo
Toki,Dec-91,Unreleased,Taito
Tom and Jerry,Dec-91,22-Oct-92,Hi Tech Expressions
Tombs & Treasure,Jun-91,Unreleased,Activision
Top Gun,Nov-87,30-Nov-88,Konami
Top Gun: The Second Mission,Jan-90,24-Oct-91,Konami
Top Players' Tennis,Jan-90,Unreleased,Asmik
Total Recall,Aug-90,Unreleased,Acclaim Entertainment
Totally Rad,Mar-91,Unreleased,Jaleco
Touch Down Fever,Feb-91,Unreleased,SNK
Town & Country Surf Designs: Wood & Water Rage,Feb-88,Unreleased,LJN
Town & Country II: Thrilla's Surfari,Mar-92,Unreleased,Acclaim Entertainment
Toxic Crusaders,Apr-92,Unreleased,Bandai
Track & Field,Apr-87,Unreleased,Konami
Track & Field II,Jun-89,22-Nov-89,Konami
Treasure Master,Dec-91,Unreleased,American Softworks
Trog!,Oct-91,Unreleased,Acclaim Entertainment
Trojan,Feb-87,23-Mar-89,Capcom
The Trolls in Crazyland,Unreleased,1991,American Softworks
Twin Cobra,Jan-90,Unreleased,American Sammy
Twin Eagle,Oct-89,Unreleased,Romstar
Ufouria: The Saga,Unreleased,19-Nov-92,Sunsoft
Ultima III: Exodus,Feb-89,Unreleased,FCI
Ultima IV: Quest of the Avatar,Dec-90,Unreleased,FCI
Ultima V: Warriors of Destiny,Jan-93,Unreleased,FCI
Ultimate Air Combat,Apr-92,Nov-92,Activision
Ultimate Basketball,Sep-90,Unreleased,American Sammy
The Uncanny X-Men,Dec-89,Unreleased,LJN
Uncharted Waters,Nov-91,Unreleased,Koei
Uninvited,Jun-91,Unreleased,Seika
The Untouchables,Jan-91,Unreleased,Ocean Software
Urban Champion,Aug-86,Unreleased,Nintendo
Vegas Dream,Mar-90,Unreleased,HAL America
Vice: Project Doom,Nov-91,Unreleased,American Sammy
Videomation,Jun-91,Unreleased,THQ
Volleyball,Mar-87,15-Nov-87,Nintendo
Wacky Races,May-92,Unreleased,Atlus
Wall Street Kid,Jun-90,Unreleased,SOFEL
Wario's Woods,10-Dec-94,1995,Nintendo
Wayne Gretzky Hockey,Jan-91,Unreleased,THQ
Wayne's World,Nov-93,Unreleased,THQ
WCW Wrestling,Apr-90,Unreleased,FCI
Werewolf: The Last Warrior,Nov-90,26-Sep-91,Data East
Wheel of Fortune,Sep-88,Unreleased,GameTek
Wheel of Fortune Family Edition,Mar-90,Unreleased,GameTek
Wheel of Fortune: Featuring Vanna White,Jan-92,Unreleased,GameTek
Wheel of Fortune Junior Edition,Oct-89,Unreleased,GameTek
Where in Time Is Carmen Sandiego?,Oct-91,Unreleased,Konami
Where's Waldo?,Sep-91,Unreleased,THQ
Who Framed Roger Rabbit?,Sep-89,Unreleased,LJN
Whomp 'Em,Mar-91,Unreleased,Jaleco
Widget,Nov-92,Unreleased,Atlus
Wild Gunman,18-Oct-85,15-Feb-88,Nintendo
Willow,Dec-89,28-Nov-91,Capcom
"Win, Lose, or Draw",Mar-90,Unreleased,Hi Tech Expressions
Winter Games,Sep-87,Unreleased,Acclaim Entertainment
Wizardry: Proving Grounds of the Mad Overlord,Jul-90,Unreleased,ASCII
Wizardry II: The Knight of Diamonds,Apr-92,Unreleased,ASCII
Wizards & Warriors,Dec-87,17-Jan-90,Acclaim Entertainment
Wizards & Warriors III: Kuros: Visions of Power,Mar-92,21-Jan-93,Acclaim Entertainment
Wolverine,Oct-91,Unreleased,LJN
World Champ,Apr-91,Unreleased,Romstar
World Class Track Meet,Aug-88,Unreleased,Nintendo
World Games,Mar-89,Unreleased,Milton Bradley Company
Wrath of the Black Manta,Apr-90,24-Jan-91,Taito
Wrecking Crew,18-Oct-85,15-Oct-87,Nintendo
Wurm: Journey to the Center of the Earth,Nov-91,Unreleased,Asmik
WWF King of the Ring,Nov-93,Unreleased,LJN
WWF WrestleMania,Jan-89,Unreleased,Acclaim Entertainment
WWF WrestleMania Challenge,Nov-90,Unreleased,LJN
WWF WrestleMania: Steel Cage Challenge,Sep-92,Unreleased,Acclaim Entertainment
Xenophobe,Dec-88,Unreleased,Sunsoft
Xevious,Sep-88,25-Oct-89,Bandai
Xexyz,Apr-90,Unreleased,Hudson Soft
Yo! Noid,Nov-90,Unreleased,Capcom
Yoshi,1-Jun-92,30-Dec-92,Nintendo
Yoshi's Cookie,Apr-93,28-Apr-94,Nintendo
Young Indiana Jones Chronicles,Jan-93,Unreleased,Jaleco
Zanac,Oct-87,Unreleased,FCI
Zelda II: The Adventure of Link,1-Dec-88,26-Sep-88,Nintendo
Zen the Intergalactic Ninja,Mar-93,Unreleased,Konami
Zoda's Revenge: StarTropics II,Mar-94,Unreleased,Nintendo
Zombie Nation,Sep-91,Unreleased,Meldac
